date,temp_2m,dewpoint_2m,surface_pressure,wind_u,wind_v,water_vapour,relative_humidity,wind_speed,precipitation
1990-08-11,15.280182,6.011841,885.6791,-2.7344055,0.08956909,13.015231,53.95028,2.735872,0.0
1990-08-12,17.963043,7.570984,886.9416,-3.5153694,-0.24479675,15.392766,50.633614,3.5238824,0.0
1990-08-13,16.230804,9.047028,889.7656,-4.477745,0.86405563,16.771051,62.448948,4.56035,0.963
1990-08-14,14.126923,7.1439514,888.9361,-3.728962,0.55218124,15.600659,62.818916,3.7696235,1.58
1990-08-15,14.072113,6.7082214,887.3212,-2.7214699,0.2839775,13.742037,61.187027,2.7362459,0.088
1990-08-16,14.776764,4.5032043,885.98706,-2.3019524,0.19612122,11.249627,50.1802,2.3102918,0.0
1990-08-17,15.581757,3.6789856,884.89014,-2.1258354,-0.16900253,10.447124,44.974503,2.1325426,0.0
1990-08-18,17.08197,4.1686096,884.02454,-2.0682793,-0.78266525,10.616552,42.30723,2.2114122,0.0
1990-08-19,17.845398,2.741272,882.6653,-1.5724449,-1.510685,10.806597,36.457256,2.1805394,0.0
1990-08-20,18.980286,2.9554138,882.60077,-0.84013367,-0.46573257,11.729919,34.473637,0.9605891,0.0
1990-08-21,18.63855,4.2174377,884.67126,-2.3417015,1.4950829,11.812137,38.490955,2.7782798,0.0
1990-08-22,17.392395,8.277649,885.90796,-3.2677727,0.005268097,10.873766,55.071842,3.267777,0.0
1990-08-23,16.99411,6.3366394,885.59106,-2.8236237,-0.28931427,10.6001625,49.460106,2.8384068,0.0
1990-08-24,17.47522,7.4812927,885.6367,-2.8352242,-0.5393524,10.426373,51.89531,2.8860695,0.0
1990-08-25,17.54187,5.977997,885.21204,-3.0758247,-0.5291939,8.358237,46.609276,3.1210165,0.0
1990-08-26,17.772095,5.188263,884.27576,-3.1918755,-0.49938202,8.821481,43.49133,3.2307045,0.0
1990-08-27,19.525482,6.474701,883.5586,-2.6490746,-0.34153366,10.940489,42.60002,2.671,0.0
1990-08-28,19.77481,7.04895,883.8223,-2.221981,-0.5809021,13.043093,43.632298,2.29666,0.0
1990-08-29,19.58603,5.896332,883.2061,-2.2036438,-0.062416077,13.136757,40.780617,2.2045276,0.0
1990-08-30,20.762665,6.1407166,881.6033,-2.3589935,-1.0154648,13.378113,38.564556,2.5682716,0.0
1990-08-31,20.972137,3.1854248,879.58624,-1.2330894,-0.62376404,13.299091,30.97317,1.3818796,0.0
1990-09-01,21.105469,7.225067,881.16516,-3.9970474,-1.1517601,16.389729,40.680298,4.15968,0.0
